SYMBOL,ASKPRICE,ASKQTY,BIDPRICE,BIDQTY,CLOSETIME,COUNT,FIRSTID,HIGHPRICE,LASTID,LASTPRICE,LASTQTY,LOWPRICE,OPENPRICE,OPENTIME,PREVCLOSEPRICE,PRICECHANGE,PRICECHANGEPERCENT,QUOTEVOLUME,VOLUME,WEIGHTEDAVGPRICE
ETHBTC,0.08003700,5.25430000,0.08003600,3.08250000,1638428056221,244558,312323538,0.08352000,312568095,0.08003600,0.02080000,0.07950000,0.08309800,1638341656221,0.08309200,-0.00306200,-3.685,7795.72210724,96109.87710000,0.08111260
LTCBTC,0.00359200,3.26600000,0.00359100,108.64400000,1638428054326,38993,74176750,0.00379000,74215742,0.00359100,11.19100000,0.00358100,0.00375300,1638341654326,0.00375300,-0.00016200,-4.317,372.78968551,101390.64400000,0.00367677
BNBBTC,0.01096100,2.50400000,0.01096000,22.45400000,1638428056301,146540,170891083,0.01140000,171037622,0.01095800,7.11300000,0.01082000,0.01104900,1638341656301,0.01104800,-0.00009100,-0.824,1819.22837315,164397.94800000,0.01106600
NEOBTC,0.00064400,280.71000000,0.00064300,0.01000000,1638428053424,3582,42491217,0.00067000,42494798,0.00064300,1.23000000,0.00064000,0.00066500,1638341653424,0.00066500,-0.00002200,-3.308,26.81669992,40914.96000000,0.00065543
QTUMETH,0.00322600,322.00000000,0.00322100,185.60000000,1638428056122,2410,5083801,0.00348600,5086210,0.00322600,282.70000000,0.00318600,0.00342900,1638341656122,0.00342900,-0.00020300,-5.920,206.62562300,62021.90000000,0.00333149
EOSETH,0.00086800,8894.00000000,0.00086600,4320.80000000,1638428055979,1612,22812438,0.00087400,22814049,0.00086800,25.20000000,0.00084900,0.00085600,1638341655979,0.00085600,0.00001200,1.402,254.06617850,294324.50000000,0.00086322
SNTETH,0.00002169,4000.00000000,0.00002163,4063.00000000,1638428010979,1270,3347036,0.00002208,3348305,0.00002163,3606.00000000,0.00002024,0.00002039,1638341610979,0.00002032,0.00000124,6.081,70.90483904,3377649.00000000,0.00002099
BNTETH,0.00089100,155.70000000,0.00088900,111.50000000,1638428049352,1610,1960447,0.00091600,1962056,0.00089100,159.50000000,0.00087700,0.00088300,1638341649352,0.00088200,0.00000800,0.906,89.46104680,100143.40000000,0.00089333
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.07908100,0.00000000,0.000,0.00000000,0.00000000,0.00000000
GASBTC,0.00013670,3.00000000,0.00013650,3.00000000,1638427800203,4878,17313620,0.00014030,17318497,0.00013660,3.00000000,0.00013510,0.00013880,1638341400203,0.00013890,-0.00000220,-1.585,8.68845137,63166.60000000,0.00013755
BNBETH,0.13700000,7.48100000,0.13690000,56.18100000,1638428052162,36990,42860540,0.13790000,42897529,0.13700000,0.09600000,0.13270000,0.13300000,1638341652162,0.13300000,0.00400000,3.008,8991.15324730,66020.60700000,0.13618707
BTCUSDT,56546.39000000,0.54557000,56546.38000000,0.41427000,1638428056313,1508870,1169963470,59053.55000000,1171472339,56549.07000000,0.00551000,55777.77000000,56930.62000000,1638341656313,56930.63000000,-381.55000000,-0.670,2783533292.60687240,48545.05877000,57339.16825181
ETHUSDT,4526.30000000,1.71980000,4526.29000000,0.00460000,1638428056391,1262120,691452567,4778.75000000,692714686,4526.30000000,0.26780000,4451.00000000,4730.55000000,1638341656391,4730.55000000,-204.25000000,-4.318,2283972498.84833700,492925.31880000,4633.50615547
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00041400,0.00000000,0.000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00017780,0.00000000,0.000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00002801,0.00000000,0.000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00577200,0.00000000,0.000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00166300,0.00000000,0.000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00021140,0.00000000,0.000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00001621,1212.00000000,0.00001617,120.00000000,1638428051479,2117,18347419,0.00001698,18349535,0.00001617,83.00000000,0.00001610,0.00001662,1638341651479,0.00001658,-0.00000045,-2.708,6.12122371,370910.00000000,0.00001650
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00023700,0.00000000,0.000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00004694,66.00000000,0.00004690,358.00000000,1638428055520,38172,15595630,0.00005187,15633801,0.00004694,29.00000000,0.00004556,0.00004973,1638341655520,0.00004971,-0.00000279,-5.610,241.36936971,4997545.00000000,0.00004830
LRCETH,0.00058685,2196.00000000,0.00058615,19.00000000,1638428055886,4772,3946209,0.00062391,3950980,0.00058724,567.00000000,0.00057198,0.00060013,1638341655886,0.00059683,-0.00001289,-2.148,573.10004872,959414.00000000,0.00059734
QTUMBTC,0.00025820,156.00000000,0.00025790,257.00000000,1638428056075,11260,21874755,0.00028550,21886014,0.00025810,311.50000000,0.00025570,0.00028440,1638341656075,0.00028500,-0.00002630,-9.248,122.73205652,454066.40000000,0.00027030
YOYOBTC,0.00000045,2321286.00000000,0.00000044,33777.00000000,1638427977096,2729,7029014,0.00000046,7031742,0.00000045,4560.00000000,0.00000042,0.00000043,1638341577096,0.00000042,0.00000002,4.651,13.69767899,31088370.00000000,0.00000044
OMGBTC,0.00014400,942.40000000,0.00014380,1554.80000000,1638428055879,9091,24107557,0.00015210,24116647,0.00014400,1.30000000,0.00014290,0.00015060,1638341655879,0.00015070,-0.00000660,-4.382,53.62759548,363906.70000000,0.00014737
OMGETH,0.00179900,589.80000000,0.00179700,98.30000000,1638428055585,2907,5449976,0.00183800,5452882,0.00179800,13.50000000,0.00178600,0.00181400,1638341655585,0.00181300,-0.00001600,-0.882,213.37810870,118001.80000000,0.00180826
ZRXBTC,0.00001965,300.00000000,0.00001962,257.00000000,1638428049721,7076,23797245,0.00002069,23804320,0.00001964,72.00000000,0.00001959,0.00002049,1638341649721,0.00002052,-0.00000085,-4.148,24.80972735,1233596.00000000,0.00002011
ZRXETH,0.00024570,2157.00000000,0.00024510,1763.00000000,1638428053316,287,5190459,0.00025280,5190745,0.00024500,1228.00000000,0.00024460,0.00024750,1638341653316,0.00024650,-0.00000250,-1.010,28.13383640,112982.00000000,0.00024901
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00003085,0.00000000,0.000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00105300,0.00000000,0.000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00000013,0.00000000,0.000,0.00000000,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00005306,0.00000000,0.000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00008703,0.00000000,0.000,0.00000000,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00126350,0.00000000,0.000,0.00000000,0.00000000,0.00000000
KNCBTC,0.00003304,610.00000000,0.00003299,1064.80000000,1638428045207,3990,17292276,0.00003518,17296265,0.00003305,4.20000000,0.00003270,0.00003492,1638341645207,0.00003492,-0.00000187,-5.355,18.29379163,541353.30000000,0.00003379
KNCETH,0.00041380,1735.90000000,0.00041240,1075.00000000,1638428043960,497,4325097,0.00042500,4325593,0.00041250,1335.90000000,0.00041000,0.00041900,1638341643960,0.00042180,-0.00000650,-1.551,45.68891352,109523.90000000,0.00041716
FUNBTC,0.00000035,12210252.00000000,0.00000034,20615028.00000000,1638428055703,1574,9319559,0.00000036,9321132,0.00000035,1940.00000000,0.00000034,0.00000035,1638341655703,0.00000035,0.00000000,0.000,7.98520757,22808334.00000000,0.00000035
FUNETH,0.00000430,56289.00000000,0.00000429,15726.00000000,1638427743312,601,2895219,0.00000436,2895819,0.00000431,75634.00000000,0.00000419,0.00000419,1638341343312,0.00000418,0.00000012,2.864,63.92588950,14892876.00000000,0.00000429
SNMBTC,0.00000759,3705.00000000,0.00000756,7363.00000000,1638428053090,11100,8818979,0.00000815,8830078,0.00000755,259.00000000,0.00000755,0.00000803,1638341653090,0.00000802,-0.00000048,-5.978,22.10391480,2836428.00000000,0.00000779
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00004986,0.00000000,0.000,0.00000000,0.00000000,0.00000000
NEOETH,0.00804000,180.20000000,0.00803000,110.13000000,1638428054599,2493,10441363,0.00817000,10443855,0.00803000,29.95000000,0.00797000,0.00801000,1638341654599,0.00800000,0.00002000,0.250,302.78219700,37457.58000000,0.00808334
